_id,name,glcm_0_contrast,glcm_0_dissimilarity,glcm_0_homogeneity,glcm_0_asm,glcm_0_entropy,glcm_0_mean_baris,glcm_0_mean_kolom,glcm_0_variance_baris,glcm_0_variance_kolom,glcm_0_correlation,glcm_45_contrast,glcm_45_dissimilarity,glcm_45_homogeneity,glcm_45_asm,glcm_45_entropy,glcm_45_mean_baris,glcm_45_mean_kolom,glcm_45_variance_baris,glcm_45_variance_kolom,glcm_45_correlation,glcm_90_contrast,glcm_90_dissimilarity,glcm_90_homogeneity,glcm_90_asm,glcm_90_entropy,glcm_90_mean_baris,glcm_90_mean_kolom,glcm_90_variance_baris,glcm_90_variance_kolom,glcm_90_correlation,glcm_135_contrast,glcm_135_dissimilarity,glcm_135_homogeneity,glcm_135_asm,glcm_135_entropy,glcm_135_mean_baris,glcm_135_mean_kolom,glcm_135_variance_baris,glcm_135_variance_kolom,glcm_135_correlation,dominant_color_0,dominant_color_0_percent,dominant_color_1,dominant_color_1_percent,dominant_color_2,dominant_color_2_percent,dominant_color_3,dominant_color_3_percent
ObjectId("5bfeca8b30cffe2d241cf94b"),001_0001_XiaomiRedmiNote4X.jpg,0.2649462747434017,0.22802973026637327,0.8895194565707975,0.05800231352988494,3.5012472977385505,19.38228126145529,19.38228126145528,31.561112323949793,31.56111232394979,0.99580264675047,0.4701780839326958,0.31846513570096957,0.854175635482203,0.054086600730264965,3.663114802798397,19.380268965312947,19.380268965312943,31.57985847682353,31.579858476823535,0.9925557284514459,0.36107324505131994,0.27003050922531774,0.8729473189192214,0.0559283569718206,3.580254145227153,19.380685159304743,19.38068515930475,31.565722767971156,31.565722767971184,0.9942806117935977,0.4701780839326958,0.31846513570096957,0.854175635482203,0.054086600730264965,3.663114802798397,19.380268965312947,19.380268965312943,31.57985847682353,31.579858476823535,0.9925557284514459,"[202.35150104448869,92.24824150536932,127.21996891014133]",46.74797058105469,"[155.50646120455778,126.64538686923494,182.79025501899076]",21.94356918334961,"[157.0276543032566,92.8943664500377,130.2228358048185]",13.276958465576172,"[92.31620521949203,120.95384468673511,157.57470040370006]",18.032073974609375
ObjectId("5bfecaa830cffe2d241cf94c"),001_0002_XiaomiRedmiNote4X.jpg,0.33813118585043983,0.2577724065249265,0.8785580308760943,0.05723902134322825,3.5585025335633946,19.35128470949413,19.351284709494138,31.523129248989946,31.523129248989964,0.9946367763304903,0.5576109214364823,0.3447109444649887,0.8460938299484495,0.05370799546243576,3.7026246050716347,19.34925071354927,19.349250713549264,31.54160134592256,31.541601345922558,0.9911607068499628,0.42878921523704805,0.2935806527981427,0.8648850752290392,0.05551845278131894,3.620270195378247,19.349844685514427,19.349844685514434,31.52722847622872,31.52722847622871,0.9931997001328497,0.5576109214364823,0.3447109444649887,0.8460938299484495,0.05370799546243576,3.7026246050716347,19.34925071354927,19.349250713549264,31.54160134592256,31.541601345922558,0.9911607068499628,"[155.14323455939734,125.78498031641955,182.5281259400381]",21.877479553222656,"[201.78866352043377,91.68076915352947,125.95766643237273]",47.48201370239258,"[91.36164796058034,120.93468382151656,157.91012866137422]",17.432785034179688,"[153.70798790738615,92.49858943555776,129.8603793732909]",13.208293914794922
ObjectId("5bfecac530cffe2d241cf94d"),001_0003_XiaomiRedmiNote4X.jpg,0.3794666040444774,0.28304943334555205,0.867346262401945,0.04435453531159062,3.7343817196002735,20.781772647085784,20.781772647085777,35.94153774237532,35.9415377423753,0.99472105775267,0.6404380576171325,0.3938858837165522,0.8253545469353325,0.04035346978222392,3.913478655607597,20.778756728193876,20.778756728193876,35.96155900692114,35.96155900692114,0.9910955187246775,0.4761806573802545,0.3301525843108506,0.8485132248294945,0.0422862602864758,3.816225321592745,20.779526935178403,20.7795269351784,35.951357261852415,35.95135726185238,0.9933774314289155,0.6404380576171325,0.3938858837165522,0.8253545469353325,0.04035346978222392,3.913478655607597,20.778756728193876,20.778756728193876,35.96155900692114,35.96155900692114,0.9910955187246775,"[211.35520450701588,88.62479053807574,116.43141646004959]",48.88734817504883,"[143.01404908195897,126.39716503179908,181.68325787790593]",21.274089813232422,"[191.589007963087,116.58231003944333,181.71516459527174]",15.330696105957031,"[96.7877825346407,116.09750692156437,152.84317477854282]",14.508438110351562
ObjectId("5bfecaeb30cffe2d241cf94e"),001_0004_XiaomiRedmiNote4X.jpg,0.6727083715175954,0.33052392625855276,0.8611473297615588,0.031311090400393336,3.9829654105758268,18.656419442662532,18.656419442662536,40.525373920506034,40.52537392050603,0.9917001583645192,0.993579728798725,0.4316803452173809,0.8265349814317363,0.028224271453530306,4.135493523269323,18.65171629262065,18.651716292620655,40.53644134064226,40.536441340642256,0.9877446108249941,0.6971023872800592,0.3554945243768323,0.8494301013815089,0.03013342449382709,4.029538469820342,18.65195188401151,18.65195188401151,40.510275078452175,40.51027507845215,0.9913959805761623,0.993579728798725,0.4316803452173809,0.8265349814317363,0.028224271453530306,4.135493523269323,18.65171629262065,18.651716292620655,40.53644134064226,40.536441340642256,0.9877446108249941,"[217.5557406064881,89.84506338538708,118.01486829816277]",29.22687530517578,"[96.59893048128342,114.30449357490622,155.6091120773718]",27.481365203857422,"[173.0258828890408,94.0110607096253,132.847950454649]",22.988224029541016,"[148.65293338095418,119.4080134591526,174.13482179781195]",20.304107666015625
ObjectId("5bfecb0830cffe2d241cf94f"),001_0005_XiaomiRedmiNote4X.jpg,0.39222587518328483,0.2642723225195504,0.8781739537692698,0.030916598598231024,3.8776527961767817,16.445843738544735,16.44584373854474,40.033840452839804,40.033840452839826,0.9951013208981869,0.592206236043148,0.34265557858406187,0.8483820911112804,0.027988037394967115,4.011411545656839,16.441226664526244,16.441226664526244,40.0258532918645,40.025853291864514,0.992602203484272,0.4462947901392964,0.2923358458577713,0.8663238992651414,0.029663046886234036,3.9293642560497664,16.442243917247083,16.442243917247087,40.00437459200424,40.004374592004226,0.9944219251682984,0.592206236043148,0.34265557858406187,0.8483820911112804,0.027988037394967115,4.011411545656839,16.441226664526244,16.441226664526244,40.0258532918645,40.025853291864514,0.992602203484272,"[167.55336075870136,94.15129565438856,132.71763669876844]",22.07345962524414,"[85.91831687934445,108.96520043241578,150.13821900813943]",34.69810485839844,"[205.1866072479227,87.81876776963342,108.49177235130446]",25.12044906616211,"[133.63344687975487,119.6504841078884,172.06192053154467]",18.108558654785156
ObjectId("5bfecb1e30cffe2d241cf950"),001_0006_XiaomiRedmiNote4X.jpg,0.18460181451612906,0.18071847507331376,0.9100268199214177,0.046445060446935235,3.397689268167003,19.45082439821603,19.45082439821604,18.762930878896423,18.762930878896423,0.9950806775415946,0.21706899665465554,0.20868700246242586,0.8964904219229312,0.044319604454678405,3.4570065154842586,19.449620125194812,19.449620125194812,18.76294973333827,18.762949733338267,0.9942154885095449,0.20212743615591397,0.19502134500244375,0.9031951617368408,0.04542370309210767,3.4283296378205836,19.449722304954797,19.4497223049548,18.76884865784087,18.768848657840863,0.9946153480205221,0.21706899665465554,0.20868700246242586,0.8964904219229312,0.044319604454678405,3.4570065154842586,19.449620125194812,19.449620125194812,18.76294973333827,18.762949733338267,0.9942154885095449,"[195.53226724565556,96.67978743301376,137.58779569498995]",46.910762786865234,"[145.36034235405197,96.66817591014433,137.23670803036063]",31.110095977783203,"[110.29193602630694,128.7556238556108,171.79553267815103]",10.208511352539062,"[155.60066597530545,121.19456687299478,179.9287276792948]",11.771202087402344
ObjectId("5bfecb3430cffe2d241cf951"),001_0007_XiaomiRedmiNote4X.jpg,0.11226268481182795,0.11208130956744869,0.9439774827407136,0.11300768929113489,2.6326459950380086,20.738324684597995,20.738324684597995,6.832693226737174,6.832693226737172,0.9917848876653395,0.13329109847887638,0.13145455118778368,0.9344557046366102,0.10980145598442888,2.683200005123347,20.738872501383142,20.738872501383142,6.833295809286443,6.833295809286443,0.9902469392370123,0.12142404386608016,0.12066608626588468,0.9397426178590937,0.11152683765094774,2.655620723690246,20.738894107404686,20.738894107404686,6.834922556632554,6.834922556632554,0.9911173796879196,0.13329109847887638,0.13145455118778368,0.9344557046366102,0.10980145598442888,2.683200005123347,20.738872501383142,20.738872501383142,6.833295809286443,6.833295809286443,0.9902469392370123,"[168.61712154122202,96.10214845594484,135.8020705449051]",40.3935432434082,"[132.4009308047631,127.35666535131497,178.3791114412386]",8.222198486328125,"[191.94254070388521,96.11636718084289,135.3518885688277]",45.8857536315918,"[172.81412922906267,109.13583264004437,171.68446686078758]",5.499076843261719
ObjectId("5bfecb5030cffe2d241cf952"),001_0008_XiaomiRedmiNote4X.jpg,0.1285816837732161,0.12457042705278595,0.9380827067317784,0.06540531436270913,3.1522705096621824,20.138323443609472,20.138323443609472,14.958704479297971,14.958704479297964,0.995702111638372,0.15875432023383967,0.150293971786735,0.9256572276538111,0.06313812893513164,3.2135733936318793,20.137207377913082,20.137207377913082,14.965373808842733,14.965373808842747,0.9946959453782565,0.14615217192082114,0.13883033968719458,0.9312674090722465,0.06413925453482576,3.1873763084971487,20.138739652065013,20.13873965206501,14.966510488441466,14.96651048844146,0.9951173597869158,0.15875432023383967,0.150293971786735,0.9256572276538111,0.06313812893513164,3.2135733936318793,20.137207377913082,20.137207377913082,14.965373808842733,14.965373808842747,0.9946959453782565,"[155.52783006184458,97.20095903916824,138.3691135609931]",21.28124237060547,"[126.78517452710268,126.86527903240638,174.88495761909655]",17.630767822265625,"[206.6116038944516,96.0045087071617,134.78874698117502]",21.362876892089844,"[182.15407846281636,96.1493659885633,135.67446477527523]",39.725685119628906
ObjectId("5bfecb6b30cffe2d241cf953"),001_0009_XiaomiRedmiNote4X.jpg,0.17729143756109483,0.1710292185972629,0.9150905848697745,0.049125061171446355,3.4010194255675206,18.150496586326994,18.150496586326994,21.95060270199073,21.950602701990725,0.99596158155728,0.23758252279678835,0.2149266766616118,0.894679333794495,0.045925588846228375,3.4956379412173724,18.149196534448635,18.149196534448635,21.95851923540197,21.958519235401965,0.9945901970836506,0.2128868065738026,0.19725035129521,0.9028623820785647,0.04726790290540164,3.458447413782767,18.14997250733138,18.14997250733138,21.95644676274611,21.956446762746115,0.9951520660680164,0.23758252279678835,0.2149266766616118,0.894679333794495,0.045925588846228375,3.4956379412173724,18.149196534448635,18.149196534448635,21.95851923540197,21.958519235401965,0.9945901970836506,"[148.06894413281006,95.77906799869886,137.13720259198675]",40.753841400146484,"[199.7132666410855,93.70053448468606,130.94728270886145]",31.56414031982422,"[102.30020614633219,130.531286670261,168.74981446830103]",15.030860900878906,"[142.3693706599513,124.6354924565147,178.20820170246776]",12.651729583740234
ObjectId("5bfecb8030cffe2d241cf954"),001_0010_XiaomiRedmiNote4X.jpg,0.19084112292277625,0.17648956805962837,0.9131387052337545,0.04747544714091614,3.4154657678782523,19.314915154569892,19.314915154569896,22.113946266780978,22.113946266780964,0.9956850504966301,0.21784107272708186,0.1949100311601494,0.9047266369179666,0.046387982443347846,3.4533501411444645,19.31345762993667,19.313457629936675,22.117413923007852,22.117413923007856,0.9950753493720974,0.1615213373655915,0.15475508614369493,0.9232670867936791,0.0489472040307263,3.36672554520044,19.316107458150054,19.316107458150057,22.110782560116956,22.110782560116956,0.9963474531729842,0.21784107272708186,0.1949100311601494,0.9047266369179666,0.046387982443347846,3.4533501411444645,19.31345762993667,19.313457629936675,22.117413923007852,22.117413923007856,0.9950753493720974,"[205.888480275236,94.628399612588,133.3337033985284]",32.9768180847168,"[136.2394490948024,96.04840860424372,137.13144831613783]",19.596195220947266,"[118.87078835289907,129.75227344645663,173.4741633768915]",18.384075164794922,"[169.01520815130633,96.45375473817673,138.17194079660493]",29.04348373413086
